Austria;179 400
Belgium;285 797
Finland;114 785
France;2 202 460
Germany;4 661 328
Italy;915 305
Netherlands;176 113
Portugal;345 704
Spain;2 822 355
Sweden;279 000
UK;1 381 405
Czech Rep;1 433 963
Hungary;498 158
Poland;649 864
Romania;490 412
Slovakia;1 100 000
Slovenia;199 102
Serbia;35 115
Ukraine;7 265
Russia;1 719 784
